"Identifiant opération";"Localisation station de mesure";"Code station";"X";"Y";"Identifiant point prélèvement";"Date réalisation";"Débit mesuré (m3/s)";"Débit station hydro (m3/s)";"Distance interpoint (m)";"Largeur plein bord évaluée (m)";"Largeur mouillée évaluée (m)";"Longueur réelle opération (m)";"Longueur théorique opération (m)";"Pente ligne d'eau (‰)";"Pente ligne d'eau évaluée";"Description habitat marginaux";"Continuité ripisylve rive gauche";"Continuité ripisylve rive droite";"Nom réseau de mesure";"Observations";"Version protocole";"Structure responsable";"Cours d'eau";"Nombre transect";"D16 (mm)";"D50 (mm)";"D84 (mm)";"Indice Folk et Ward";"Indice Fredle";"Surface mouillée Q1 (m2)";"Largeur mouillée Q1 (m)";"Périmètre mouillé Q1 (m)";"Profondeur maximum Q1 (m)";"Profondeur moyenne Q1 (m)";"Rayon hydraulique Q1";"Rapport largeur/Profondeur Q1";"Coefficient rugosité";"Surface mouillée Qb (m2)";"Largeur mouillée Qb (m)";"Périmètre mouillé Qb (m)";"Profondeur maximum Qb (m)";"Profondeur moyenne Qb (m)";"Rayon hydraulique Qb";"Rapport largeur/Profondeur Qb";"Force tractrice Qb  (N/m2)";"Débit plein bord (m3/s)";"Ecart type cote point";"Coefficient variation cote point";"Ecart type cote point en eau";"Coefficient variation cote point en eau";"Ecart type largeur mouillée Qb";"Coefficient variation largeur mouillée Qb";"Vitesse moyenne Qb (m/s)";"Ligne énergie Qb (m)";"Cote ligne énergie Qb";"Nombre de Froude Qb";"Puissance spécifique Qb (w/m2)";"Nombre de mouille";"Profondeur moyenne des mouilles (m)";"Nombre de berges total";"Nombre de berges artificialisées";"Score ripisylve";"Classe ripisylve";"% fines";"% graviers-cailloux";"% blocs-rochers";"Indice de Shannon granulo";"Surface BV (km2)";"Proportion de roche imperméable BV";"Code HER ou DOM dominant";"Nom HER ou DOM dominant";"Type DOM";"Coefficient de sinuosité";"Débit Q01 RHT (m3/s)";"Puissance Q01 RHT (w/m)";"Puissance spécifique Q01 RHT (w/m2)";"Station référence modèle";"Résidu modèle Largeur mouillée Qb";"Résidu modèle rapport largeur/profondeur Qb";"Résidu modèle profondeur mouilles";"Résidu modèle profondeur Qb";"Résidu modèle pente ligne d'eau";"Résidu modèle surface mouillée Qb";"Résidu standardisé modèle largeur mouillée Qb";"Résidu standardisé modèle rapport largeur/profondeur Qb";"Résidu standardisé modèle profondeur mouilles";"Résidu standardisé modèle profondeur Qb";"Résidu standardisé modèle pente ligne d'eau";"Résidu standardisé modèle surface mouillée Qb";"IMG";"Modèle référence IMG";"Classe écart IMG"
2925;"Séguineau";"08205101";710265;1639658;176634;2018-03-11;1,801;1,67;3;35,8;21,2;501,2;NA;11,78;NA;"";"semi-continue";"semi-continue";NA;"Coordonnées géographiques WGS84 UTM20N
Aval X_710371.90 Y_1639787.09
Amont X_710133.27 Y_1639354.03

Différence de niveau d'eau de - 1.5 cm entre le début et la fin de l'intervention.";"2017";"OFFICE DE L EAU MARTINIQUE";"Seguineau";15;18,044;90,25;456,4;2,279;29,887;6,039;18,972;19,128;0,567;0,319;0,317;36,191;5,916;75,973;33,65;35,102;3,06;2,266;2,169;11,032;250,655;81,744;2,098;0,022;0,173;0,525;4,708;0,14;1,094;3,122;99,603;0,232;286,366;6;0,125;30;0;1,126;NA;16,935;38,71;44,355;2,059;35,58;NA;972;"MARTINIQUE";1;NA;NA;NA;NA;0;0,076;-0,111;-0,911;0,179;-0,448;0,364;0,515;-0,492;-1,524;0,988;-0,771;1,361;5,652;"Montagne volcanique des DOM";"faible"
2926;"Pont de Chaînes";"08423101";707857;1616934;176618;2018-03-10;0,191;0,475;1,34;14,6;9,4;204,4;NA;15,25;NA;"";"bosquets éparses";"isolée";NA;"Coordonnées géographiques WGS84 UTM20N
Aval_ X 707828.20 Y 1616883.19
Amont_ X 707904.47 Y 1617068.10

Différence importante entre le débit mesuré et le débit au droit de la station de référence. 

Pas de variation de niveau d'eau pendant l'intervention.";"2017";"OFFICE DE L EAU MARTINIQUE";"Pont de chaînes";15;23,756;86,6;303,92;1,818;37,733;1,461;9,149;9,275;0,318;0,175;0,172;34,89;3,425;34,685;16,318;18,05;2,697;2,131;1,924;6,077;287,895;22,696;1,484;0,015;0,135;0,814;2,205;0,135;0,665;2,72;100,843;0,146;211,843;4;0,133;30;18;NA;NA;11,429;51,429;37,143;2,091;11,79;NA;972;"MARTINIQUE";1;NA;NA;NA;NA;0;-0,301;-0,422;-0,599;0,115;-0,488;-0,03;-2,037;-1,876;-1,003;0,634;-0,84;-0,113;6,501;"Montagne volcanique des DOM";"moyen"
2927;"Beauregard";"08811101";729086;1606041;176623;2018-03-09;0,003;NA;0,47;8,8;3,3;123,2;NA;9,281;NA;"";"continue";"continue";NA;"Coordonnées géographique WGS84 UTM20N
Aval_ X 729137.72 Y 1606039.71
Amont_ X 729216.78 Y 1606007.84

Cette station à été placée en amont du gué en 2018. En 2012 la station était placée en aval du gué.

De plus les niveaux d'eau étaient très faible lors de la réalisation des investigations.";"2017";"OFFICE DE L EAU MARTINIQUE";"Beauregard";15;10,836;61,1;122,34;1,663;15,588;0,31;2,517;2,607;0,191;0,106;0,1;19,411;0,467;13,867;10,042;11,629;2,148;1,399;1,203;4,69;109,523;0,705;0,841;0,008;0,135;1,098;2,625;0,261;0,053;2,148;101,386;0,014;6,735;3;0,177;30;0;1,299;NA;20,144;73,381;6,475;2,046;1,59;NA;972;"MARTINIQUE";0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2928;"Petit Bourg";"08803101";719813;1609262;176625;2018-03-09;0,313;0,285;0,94;14,2;6,6;198,8;NA;0,436;NA;"";"absence";"absence";NA;"Coordonnées géographiques WGS84 UTM20N
Aval_ X 719509.94 Y 1609217.87
Amont_ X 719684.63 Y 1609272.73

Niveau d'eau stable au cours des investigations

Présence d endiguement en rive droite sur tout les transects.

La ripisylve est composée presque exclusivement d'herbe de guinée - espèce invasive - en rive gauche et droite du cours d'eau. ";"2017";"OFFICE DE L EAU MARTINIQUE";"Petit bourg";15;14,972;41;260,32;2,119;26,551;2,502;5,805;6,135;0,605;0,431;0,405;10,297;10,947;32,647;16,076;18,393;3,44;2,035;1,776;4,67;7,604;10,949;1,269;0,013;0,196;0,432;1,891;0,118;0,34;3,446;102,797;0,076;2,953;4;0,131;30;0;NA;NA;41,758;31,868;26,374;2,058;35,14;NA;972;"MARTINIQUE";0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2929;"Tunnel Didier";"08301101";705126;1621431;176631;2018-03-08;0,128;NA;0,93;14,5;6,5;203;NA;52,8;NA;"";"continue";"continue";NA;"Coordonnées géographiques WGS84 UTM20N
Amont X 705065.7814 / Y 1621547.561
Aval X 705083.4273 / Y 1621379.539

Les niveaux d'eau sont restés stables lors des investigations";"2017";"OFFICE DE L EAU MARTINIQUE";"Tunnel didier";15;24,084;97,45;383,8;2,011;37,37;1,001;5,077;5,209;0,343;0,196;0,188;16,382;1,694;25,624;19,081;20,678;2,14;1,373;1,273;8,994;659,182;11,715;3,146;0,033;0,162;0,83;4,057;0,213;0,472;2,152;96,457;0,131;331,48;5;0,128;30;0;1,299;NA;12,308;32,692;55;1,995;4,4;NA;972;"MARTINIQUE";1;NA;NA;NA;NA;1;0,164;0,224;-0,417;-0,061;0,488;0,015;1,107;0,995;-0,697;-0,337;0,841;0,056;4,034;"Montagne volcanique des DOM";"tres faible"
2930;"IRANCE A MEZERIAT ";"06048540";859621;6572071;146831;2017-07-27;0,298;NA;1,2;10,5;8,27;154;NA;1,72;NA;"";"semi-continue";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Rhône et cours d'eau côtiers méditerranéens";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Irance";15;11;19;34,16;0,831;13,584;1,938;7,455;7,618;0,391;0,256;0,248;22,884;9,384;16,495;11,839;13,185;1,858;1,4;1,251;6,442;21,108;7,453;0,719;0,007;0,189;0,716;1,806;0,153;0,461;1,869;101,351;0,126;10,821;4;0,201;30;2;0,541;NA;31,858;68,142;0;1,966;219,79;0,934;15;"PLAINE SAONE";0;1,23;12,227;206,309;17,426;0;-0,07;0,083;0,13;-0,152;0,665;-0,162;-0,495;0,158;0,006;-0,478;0,842;-0,476;2,457;"Plaine/collinéen détritique";"tres faible"
2931;"BORNE A ST-PIERRE-EN-FAUCIGNY ";"06063500";962469;6558382;147567;2017-07-31;1,374;NA;2,3;24,87;16,07;350;NA;6,89;NA;"";"semi-continue";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Rhône et cours d'eau côtiers méditerranéens";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Borne";15;45,84;73;105,16;0,645;53,561;3,191;14,962;15,021;0,334;0,214;0,213;46,497;14,53;74,328;26,887;28,689;3,524;2,77;2,594;7,638;175,361;169,258;1,539;0,015;0,099;0,464;2,291;0,085;2,287;3,791;102,27;0,439;428,218;3;0,081;30;28;0,736;NA;6,87;52,672;40,458;1,85;154,89;0,192;5;"JURA-PREALPES DU NORD";0;1,04;38,35;2592,111;96,407;0;0,186;-0,359;-1,231;0,53;0,325;0,872;0,485;-1,059;-2,056;2,405;0,319;1,682;8,007;"JURA-PREALPES DU NORD";"fort"
2932;"USSES A SEYSSEL ";"06069050";920463;6547160;147808;2017-08-03;0,552;NA;1,9;39,5;13,63;546;NA;2,6;NA;"";"semi-continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Rhône et cours d'eau côtiers méditerranéens";"1 bâtonnet retrouvé.";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Usses";15;42;62;83,32;0,507;47,592;2,969;14,073;14,249;0,485;0,226;0,22;46,098;10,003;41,918;32,633;33,586;1,972;1,319;1,275;17,277;32,528;25,143;0,718;0,007;0,245;1,148;8,237;0,252;0,614;1,992;100,787;0,171;20,919;2;0,771;30;2;1,212;NA;19,184;78,367;2,449;1,882;306,79;0,524;5;"JURA-PREALPES DU NORD";0;1,18;47,657;1215,539;37,249;1;0,102;0,32;0,848;-0,192;-0,287;-0,12;0,265;0,945;1,417;-0,87;-0,282;-0,231;4,009;"JURA-PREALPES DU NORD";"tres faible"
2933;"EAU MORTE A DOUSSARD 2";"06830079";950975;6526135;163204;2017-08-04;0,724;NA;1,3;14,23;9,07;196;NA;2,91;NA;"";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Rhône et cours d'eau côtiers méditerranéens";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Eau morte";15;30,52;47;72;0,63;35,524;2,374;9,083;9,321;0,482;0,268;0,26;21,772;13,882;20,527;13,778;15,209;2,025;1,492;1,35;6,858;38,55;18,78;0,78;0,008;0,189;0,712;0,756;0,055;0,919;2,069;101,297;0,241;39,016;3;0,108;30;4;0,866;NA;14,729;80,62;4,651;1,831;91,82;0,039;5;"JURA-PREALPES DU NORD";0;1,1;7,707;220,012;15,969;1;-0,269;-0,361;-0,798;0,085;-0,814;-0,094;-0,702;-1,066;-1,334;0,384;-0,801;-0,181;4,468;"JURA-PREALPES DU NORD";"tres faible"
2934;"ALLONDON A THOIRY 1";"06999107";932147;6574538;164021;2017-08-11;0,367;0,156;1,1;12,5;7,67;182;NA;6,18;NA;"";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Rhône et cours d'eau côtiers méditerranéens";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Allondon";15;45,68;82;122;0,674;51,701;1,745;7,6;7,765;0,438;0,245;0,237;26,467;6,983;23,431;13,553;14,992;2,375;1,75;1,567;5,805;95,023;17,357;0,943;0,009;0,208;0,917;2,629;0,194;0,758;2,405;101,426;0,184;80,366;4;0,244;30;10;1,083;NA;5,556;81,746;12,698;1,851;98,69;0,594;5;"JURA-PREALPES DU NORD";0;1,53;14,443;875,618;64,607;1;-0,315;-0,542;-0,006;0,229;-0,023;-0,006;-0,822;-1,601;-0,01;1,038;-0,022;-0,012;3,505;"JURA-PREALPES DU NORD";"tres faible"
2935;"ARLY A FLUMET ";"06135500";974411;6530945;151380;2017-08-17;0,867;NA;1,2;14;8,87;196;NA;11,43;NA;"";"bosquets éparses";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Rhône et cours d'eau côtiers méditerranéens";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Arly";15;43,84;81;208,32;1,153;56,251;1,442;7,853;7,96;0,329;0,188;0,185;24,575;17,3;22,876;15,007;16,319;2,049;1,537;1,409;7,333;157,935;53,165;1,044;0,011;0,107;0,579;2,637;0,176;2,366;2,34;100,891;0,61;408,375;4;0,068;30;14;0,487;NA;5,479;71,233;23,288;2,102;83,02;0,085;2;"ALPES INTERNES";0;1,02;13,753;1542,101;102,761;0;-0,111;-0,209;-0,863;0,086;-0,665;0,086;-0,263;-0,553;-1,455;0,355;-1;0,148;3,774;"ALPES INTERNES";"tres faible"
2936;"BOURNE A CHORANCHE 1";"06147840";888651;6443338;152199;2017-08-21;2,05;NA;3;33,3;21,07;462;NA;9,4;NA;"";"bosquets éparses";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Rhône et cours d'eau côtiers méditerranéens";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bourne";15;58;121;209,12;1,064;74,409;11,762;20,121;20,56;1,177;0,585;0,562;25,765;2,64;82,679;33,769;35,466;3,647;2,493;2,352;9,879;216,895;37,433;1,806;0,018;0,645;1,076;6,3;0,187;0,463;3,658;100,29;0,095;105,336;3;1,432;30;7;0,671;NA;2,857;32,143;65;1,779;255,66;0,094;5;"JURA-PREALPES DU NORD";0;1,04;32,997;3042,785;90,105;0;0,21;-0,202;1,515;0,461;0,901;0,671;0,548;-0,597;2,531;2,09;0,886;1,295;7,947;"JURA-PREALPES DU NORD";"fort"
2937;"GERVANNE A MONTCLAR-SUR-GERVANNE 2";"06579000";868325;6407115;159410;2017-08-24;0,357;NA;1,1;19;7,77;266;NA;8,35;NA;"";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Rhône et cours d'eau côtiers méditerranéens";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Gervanne";15;21;48;91,16;1,069;27,6;1,464;8,126;8,306;0,402;0,201;0,192;27,387;8,026;25,689;23,019;24,242;1,879;1,16;1,1;12,239;90,07;20,072;1,011;0,01;0,176;1,021;6,087;0,264;0,812;1,914;100,401;0,246;77,036;3;0,234;30;0;1,299;NA;4,673;82,71;12,617;1,834;132,56;0,011;5;"JURA-PREALPES DU NORD";0;1,29;22,319;1828,227;79,421;1;0,094;0,144;-0,123;-0,067;0,435;-0,095;0,246;0,425;-0,205;-0,302;0,427;-0,183;1,789;"JURA-PREALPES DU NORD";"tres faible"
2938;"ROUBION A MONTELIMAR - ST-JAMES ";"06580316";839328;6385773;159795;2017-09-05;0,259;NA;2,1;22,33;15;308;NA;3,31;NA;"";"isolée";"isolée";"Contrôle de surveillance des cours d'eau du bassin Rhône et cours d'eau côtiers méditerranéens";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Roubion";15;26,84;42,5;68;0,727;31,31;2,758;11,434;11,526;0,346;0,226;0,224;37,068;4,43;22,076;20,333;20,888;1,489;1,092;1,062;13,825;34,487;5,857;0,656;0,007;0,145;0,587;2,687;0,132;0,272;1,493;100,63;0,084;9,513;2;0,182;30;1;NA;NA;13,861;83,168;2,97;1,803;399,1;0,174;6;"MEDITERRANEEN";0;1,21;42,327;1374,404;67,594;0;0,168;0,686;-0,811;-0,523;-0,171;-0,271;0,566;2,189;-1,692;-2,031;-0,289;-0,596;7,363;"MEDITERRANEEN";"moyen"
2939;"LA SEMOIGNE A VERNEUIL 1";"03105946";749428;6892676;102216;2017-06-30;0,13;NA;0,73;6,53;5,08;91,5;NA;4,45;NA;"";"continue";"continue";NA;"Pas de dépôt alluvionnaire mobile -concrétions calcaires- donc pas de bâtonnets ni de mesure de la granulométrie";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Semoigne";15;NA;NA;NA;NA;NA;1,379;3,727;4,079;0,557;0,368;0,331;7,687;2,953;7,327;6,576;7,917;1,75;1,122;0,926;3,809;40,433;1,371;0,709;0,007;0,221;0,601;0,863;0,131;0,19;1,752;100,992;0,057;9,25;4;0,25;30;0;1,299;NA;75,904;22,892;1,205;1,863;46,85;0;9;"TABLES CALCAIRES";0;1,07;1,151;50,246;7,641;1;-0,061;-0,544;0,301;0,463;0,315;0,376;-0,234;-1,427;0,638;1,361;0,391;0,831;4,881;"TABLES CALCAIRES";"faible"
2940;"LA ZORN À STEINBOURG";"02043600";1026483;6860290;88653;2017-06-08;1,735;NA;1,98;16,7;13,87;234;NA;1,2;NA;"";"semi-continue";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Rhin";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Zorn";15;6;13;22;0,897;7,607;5,564;13,11;13,384;0,619;0,439;0,428;24,097;15,854;29,833;17,324;18,718;2,211;1,73;1,598;7,962;18,813;22,397;0,88;0,009;0,249;0,59;1,457;0,084;0,754;2,24;101,481;0,184;15,324;2;0,431;30;1;0,541;NA;31,481;67,593;0,926;1,691;397,13;0,646;4;"VOSGES";0;1,28;16,875;198,652;11,467;0;-0,038;-0,615;0,258;0,539;1,167;0,671;-0,124;-2,336;0,609;2,405;1,084;1,444;8,001;"VOSGES";"fort"
2941;"LA LAUTER À WEILER";"02047500";1058220;6893717;89129;2017-06-09;1,281;NA;1,01;10,23;7,07;143;NA;1,1;NA;"";"semi-continue";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Rhin";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Lauter";15;6;19,5;33;1,221;8,124;3,388;6,942;7,248;0,713;0,491;0,469;10,078;18,885;11,777;9,795;10,764;1,724;1,206;1,095;5,722;11,816;7,837;0,666;0,007;0,217;0,446;1,038;0,106;0,672;1,747;100,955;0,196;8,728;4;0,107;30;0;0,541;NA;38,739;46,847;14,414;1,774;21,88;0,364;4;"VOSGES";0;1,22;0;0;0;1;0,233;-0,34;-0,264;0,558;-1,994;0,848;0,768;-1,291;-0,622;2,492;-1,852;1,824;8,851;"VOSGES";"fort"
2942;"Les Eaux-Claires à Puymerle";"05015320";483035,9;6502550,5;136409;2018-04-23;0,12;NA;0,3;2,55;2,2;36;NA;0,08;NA;"Bryophytes";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Adour, Garonne, Dordogne, Charente et cours d'eau côtiers charentais et aquitains";"Pas de bâtonnets impossible de les enfoncer.";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Eaux claires";15;NA;NA;NA;NA;NA;0,562;2,494;2,696;0,305;0,226;0,208;8,283;67,948;1,366;2,826;3,346;0,605;0,484;0,408;4,694;0,32;0,457;0,229;0,002;0,084;0,376;0,244;0,086;0,338;0,611;100,304;0,155;0,128;4;0,036;30;0;0,65;NA;36,937;62,162;0,901;1,95;10,96;0;11;"CAUSSES AQUITAINS";0;1,01;0,883;0,693;0,245;0;-0,505;-0,196;-1,417;-0,335;-4,374;-0,636;-1,621;-0,502;-3,044;-1,083;-5,695;-1,302;13,247;"Plaine/collinéen calcaire";"tres fort"
2943;"La Dronne au niveau de Dournazac";"05035300";538054,8;6502854;137187;2018-04-24;1,09;NA;0,9;7,3;6,27;102;NA;4,5;NA;"";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Adour, Garonne, Dordogne, Charente et cours d'eau côtiers charentais et aquitains";"4 bâtonnets posés relevés le 07/06/2018";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Dronne";15;18;58,5;95,44;1,206;26,412;2,711;6,257;6,56;0,639;0,426;0,405;10,552;10,948;6,89;8,069;8,695;1,225;0,851;0,79;6,7;34,862;4,323;0,496;0,005;0,209;0,48;0,927;0,115;0,65;1,247;100,378;0,228;23,945;3;0,195;30;0;1,299;NA;27,885;66,346;5,769;1,738;58,58;1;21;"MASSIF CENTRAL NORD";0;1,1;5,049;222,888;27,623;1;-0,088;-0,06;0,314;-0,027;0,113;-0,105;-0,512;-0,185;0,702;-0,1;0,111;-0,327;1,937;"MASSIF CENTRAL NORD";"tres faible"
2944;"La Jordanne à Rouffiac";"05065000";662460,9;6430932;138178;2018-05-28;0,968;NA;1,6;16,5;11,4;231;NA;1,77;NA;"";"semi-continue";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Adour, Garonne, Dordogne, Charente et cours d'eau côtiers charentais et aquitains";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Jordanne";15;20,84;45;83,12;0,94;24,804;5,681;12,147;12,382;0,747;0,452;0,442;19,721;6,983;35,73;18,436;20,134;2,625;1,951;1,776;7,053;30,846;15,397;0,969;0,01;0,344;0,731;4,259;0,231;0,449;2,635;101,684;0,103;15,104;4;0,332;30;8;0,541;NA;26,667;59,333;14;2,001;80,39;1;3;"MASSIF CENTRAL SUD";0;1,43;24,248;421,035;22,838;1;0,396;-0,164;0,549;0,547;-1,529;1,033;1,676;-0,758;1,23;2,185;-2,223;2,368;10,44;"MASSIF CENTRAL SUD";"tres fort"
2945;"DOLO à SAINT-AUBIN-DU-PLAIN";"04100980";434245;6651588;120497;2018-04-26;0,47;NA;1,34;11,7;9,41;163,8;NA;0,04;NA;"";"semi-continue";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"Pas de bâtonnets ni de granulométrie pas de radier";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Dolo";15;NA;NA;NA;NA;NA;6,012;8,56;9,093;1,03;0,692;0,651;8,507;16,464;19,612;12,291;13,908;2,343;1,605;1,415;5,241;0,555;2,574;0,917;0,009;0,33;0,466;1,869;0,152;0,135;2,344;101,31;0,034;0,084;4;0,136;30;0;0,541;NA;55,34;22,33;22,33;1,862;107,23;1;12;"ARMORICAIN";0;1,09;15,075;5,915;0,481;1;0,144;-0,41;-0,172;0,535;-3,908;0,628;0,666;-1,491;-0,417;2,665;-3,796;2,004;11,039;"ARMORICAIN";"tres fort"
2946;"Le Camezon au lieu dit Lamarion";"05118893";527798,56;6322103,36;140311;2018-05-25;0,047;NA;0,4;5,99;3,23;84;NA;3,6;NA;"";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Adour, Garonne, Dordogne, Charente et cours d'eau côtiers charentais et aquitains";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Camezon";15;13,84;19,5;30;0,537;15,403;1,03;3,028;3,493;0,474;0,357;0,292;9,218;1,728;12,469;7,421;10,66;2,84;1,688;1,171;2,634;41,36;1,437;1,115;0,011;0,21;0,6;1,162;0,157;0,118;2,841;102,205;0,029;6,972;3;0,321;30;0;0,65;NA;62,602;34,959;2,439;1,859;25,38;0;14;"COTEAUX AQUITAINS";0;1,02;1,239;43,757;5,896;0;0,21;-0,66;0,858;0,864;0,095;0,947;0,536;-2,249;0,734;2,158;-0,055;1,57;7,301;"Plaine/collinéen détritique";"moyen"
2947;"LE RUPT DE MAD À ESSEY-ET-MAIZERAIS";"02077200";905833;6872579;90688;2018-06-20;0,098;NA;1;8,6;6,7;120,5;NA;0,08;NA;"radier de pont à l'aval proche de la station carhyce";"bosquets éparses";"bosquets éparses";"Contrôle de surveillance des cours d'eau du bassin Rhin";"aucun habitat lotique donc pas de wolman
cours d'eau assez rofond donc granulo sur les points souvent estimées";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Rupt de mad";15;NA;NA;NA;NA;NA;3,101;5,853;6,284;0,732;0,537;0,495;8,558;5,645;8,649;7,639;8,723;1,555;1,138;0,993;5,007;0,779;0,435;0,621;0,006;0,223;0,41;0,987;0,129;0,051;1,555;100,819;0,015;0,045;2;0,205;30;0;NA;NA;58,511;38,298;3,191;2,076;139,06;0;10;"COTES CALCAIRES EST";0;1,04;10,315;8,095;1,06;0;-0,316;-0,397;-0,31;0,064;-3,262;-0,171;-1,572;-1,526;-0,904;0,268;-3,727;-0,475;8,472;"COTES CALCAIRES EST";"fort"
2948;"LA CHIERS À CONS-LA-GRANDVILLE";"02115650";895514;6935285;92864;2018-06-27;1,497;NA;1,8;20,1;12,11;284;NA;2,96;NA;"";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Meuse";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Chiers";15;17,68;55;101,32;1,279;24,103;3,375;9,86;10,04;0,555;0,345;0,337;19,791;16,828;39,23;17,535;19,129;3,077;2,244;2,058;5,715;59,768;58,119;1,193;0,012;0,225;0,675;1,401;0,08;1,488;3,191;102,22;0,318;96,824;3;0,368;30;7;0,65;NA;6,977;50;43,023;1,855;190,44;0;10;"COTES CALCAIRES EST";0;1,03;4,184;121,493;6,929;0;0,407;-0,294;0,19;0,668;0,395;1,158;2,027;-1,129;0,555;2,81;0,451;3,21;10,182;"COTES CALCAIRES EST";"tres fort"
2949;"LE ROTHENBACH À STURZELBRONN (GRAFENWEIHER)";"02041735";1035591;6890487;168971;2016-08-02;0,1;NA;0,62;5,03;4,34;70;NA;3,3;NA;"";"continue";"continue";"Réseau de connaissance de la qualité des cours d'eau du Parc Régional des Vosges du Nord";"";"2009-2016";"PNR VOSGES DU NORD";"Rothenbach";15;11,84;17;23;0,543;13,598;0,437;3,838;3,932;0,19;0,116;0,112;21,764;17,089;2,342;5,565;5,92;0,579;0,425;0,398;9,647;12,878;1,244;0,25;0,002;0,062;0,509;1,186;0,213;0,544;0,594;100,288;0,266;7,514;3;0,048;30;0;1,299;NA;76,415;22,642;0,943;1,129;15,502;1;4;"VOSGES";0;1,06;NA;NA;NA;0;-0,232;0,254;-0,952;-0,501;-1,261;-0,636;-0,766;0,966;-2,243;-2,237;-1,171;-1,368;8,751;"VOSGES";"fort"
2950;"LE TRAUTBACH À LEMBACH";"02045171";1046267;6887292;168979;2016-08-02;0,007;NA;0,29;2,71;1,99;38;NA;24,21;NA;"";"continue";"semi-continue";"Réseau de connaissance de la qualité des cours d'eau du Parc Régional des Vosges du Nord";"";"2009-2016";"PNR VOSGES DU NORD";"Trautbach";15;10,84;23;49,16;1,033;12,489;0,098;1,824;1,897;0,111;0,054;0,052;20,175;3,304;0,751;2,581;2,826;0,398;0,293;0,267;6,63;63,345;0,16;0,308;0,003;0,047;0,871;0,399;0,155;0,217;0,4;99,83;0,128;15,047;5;0,049;30;0;1,212;NA;55,455;40,909;3,636;1,641;3,338;1;4;"VOSGES";0;1,01;NA;NA;NA;0;-0,555;0,2;-0,469;-0,734;-0,897;-1,187;-1,83;0,76;-1,104;-3,276;-0,833;-2,553;10,355;"VOSGES";"tres fort"
2951;"RAU DE MAROLLES À GENILLE";"04474001";556998,4;6677852;71798;2017-10-31;0,027;NA;0,32;4,48;2,25;62,7;NA;4,3;NA;"";"isolée";"bosquets éparses";"Réseau de suivi local de l’opération de restauration hydromorphologique de reméandrage du Marolles à Genillée (37)";"";"2017";"RIVE SARL";"Rau de marolles";15;8,84;17,5;29;0,828;11,073;0,423;2,315;2,483;0,252;0,169;0,154;11,975;3,391;2,434;4,261;5,014;0,915;0,571;0,482;4,765;20,329;0,333;0,402;0,004;0,159;0,881;0,246;0,058;0,143;0,916;100,529;0,062;3,303;4;0,195;30;0;NA;NA;11,009;88,073;0,917;1,501;20,99;0,943;9;"TABLES CALCAIRES";0;1,06;0,614;25,9;6,078;0;-0,25;-0,244;0,136;-0,019;-0,065;-0,303;-0,957;-0,64;0,289;-0,055;-0,08;-0,669;2,69;"TABLES CALCAIRES";"tres faible"
